checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,74252277.228707,1.346760,1000000,50000000,50000000,32768,4,guided,32,299150423.601340,0.334280,1.684545,59363199.183398
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,74184192.075952,1.347996,1000000,50000000,50000000,32768,4,guided,32,301217312.658237,0.331986,1.683334,59405919.813367
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,75113006.428687,1.331327,1000000,50000000,50000000,32768,8,guided,32,299294783.369971,0.334119,1.668958,59917640.599082
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,73116231.594708,1.367685,1000000,50000000,50000000,32768,8,guided,32,299071023.596038,0.334369,1.705437,58635991.133330
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,488652892.382955,0.204644,1000000,50000000,50000000,32768,4,guided,32,274184891.076104,0.364717,0.572960,174532126.317444
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,494433269.387218,0.202252,1000000,50000000,50000000,32768,4,guided,32,275207695.414766,0.363362,0.568893,175780046.327247
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,491052511.056094,0.203644,1000000,50000000,50000000,32768,8,guided,32,273650668.549156,0.365429,0.572541,174660061.840104
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,486853307.204396,0.205401,1000000,50000000,50000000,32768,8,guided,32,276875401.804385,0.361173,0.569876,175476920.566907
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,245009609.469849,0.408147,1000000,50000000,50000000,32768,4,guided,32,282765770.773613,0.353650,0.764932,130730529.686129
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,231415451.777480,0.432123,1000000,50000000,50000000,32768,4,guided,32,283759579.981355,0.352411,0.787794,126936704.629536
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,244880492.073256,0.408362,1000000,50000000,50000000,32768,8,guided,32,281384701.159651,0.355385,0.767191,130345664.061898
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,247182916.060071,0.404559,1000000,50000000,50000000,32768,8,guided,32,282821943.641474,0.353579,0.761277,131358220.454525
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,75080588.463779,1.331902,1000000,50000000,50000000,32768,4,guided,32,302323675.634271,0.330771,1.665805,60031039.909608
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,74911341.690980,1.334911,1000000,50000000,50000000,32768,4,guided,32,301624428.531475,0.331538,1.669946,59882172.358363
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,74153244.439333,1.348559,1000000,50000000,50000000,32768,8,guided,32,300182989.029560,0.333130,1.685092,59343938.952402
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,76685060.241857,1.304035,1000000,50000000,50000000,32768,8,guided,32,300451976.112388,0.332832,1.640236,60966848.887362
