checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,884591848.890542,0.113046,1000000,4,4,cyclic,4,4,50000000,50000000,32768,4,guided,4,479409905.068481,0.208590,1.678435,59579322.997065,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,1256494942.316292,0.079586,1000000,4,4,block,4,4,50000000,50000000,32768,4,guided,4,600992011.824814,0.166392,2.028278,49302917.784090,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,1383226247.940443,0.072295,1000000,4,4,cyclic,4,4,50000000,50000000,32768,4,guided,4,487027194.934773,0.205327,1.638799,61020312.724804,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,827928112.761992,0.120783,1000000,4,4,block,4,4,50000000,50000000,32768,4,guided,16,970661424.533756,0.103023,2.016480,49591363.590626,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,852835631.163378,0.117256,1000000,4,4,cyclic,4,4,50000000,50000000,32768,4,guided,16,957926789.230842,0.104392,1.579770,63300357.629258,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,1270958245.066905,0.078681,1000000,4,4,block,4,4,50000000,50000000,32768,4,guided,16,969918875.412708,0.103101,1.973255,50677685.626382,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,2099228760.452626,0.047637,1000000,4,4,cyclic,4,4,50000000,50000000,32768,4,guided,16,937907462.423319,0.106620,1.522653,65674832.362666,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,1624701595.840587,0.061550,1000000,8,4,block,8,8,50000000,50000000,32768,4,guided,4,1721758368.122070,0.058080,1.089588,91777849.957244,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,1525832767.853154,0.065538,1000000,8,4,cyclic,8,8,50000000,50000000,32768,4,guided,4,1717728681.940872,0.058216,0.861753,116042486.015712,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,1853493740.175329,0.053952,1000000,8,4,block,8,8,50000000,50000000,32768,4,guided,4,1350596765.174421,0.074041,1.085760,92101423.664597,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,1849740150.659489,0.054062,1000000,8,4,cyclic,8,8,50000000,50000000,32768,4,guided,4,1766147993.916937,0.056620,0.854772,116990299.764912,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,1618833984.389723,0.061773,1000000,8,4,block,8,8,50000000,50000000,32768,4,guided,16,1910234916.474554,0.052350,1.091465,91619972.393060,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,1515782930.608447,0.065973,1000000,8,4,cyclic,8,8,50000000,50000000,32768,4,guided,16,1906850549.727667,0.052442,0.867469,115277862.270787,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,1965777262.622739,0.050870,1000000,8,4,block,8,8,50000000,50000000,32768,4,guided,16,1920746169.998502,0.052063,1.074044,93106033.900681,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,1966013522.247844,0.050864,1000000,8,4,cyclic,8,8,50000000,50000000,32768,4,guided,16,1944517128.034900,0.051427,0.856872,116703518.630651,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,1721783326.666901,0.058079,1000000,8,8,block,8,8,50000000,50000000,32768,4,guided,4,1836853499.626451,0.054441,1.026061,97460080.646060,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,1609389535.577380,0.062135,1000000,8,8,cyclic,8,8,50000000,50000000,32768,4,guided,4,1852757251.630629,0.053974,0.812840,123025513.299119,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,2960328522.185030,0.033780,1000000,8,8,block,8,8,50000000,50000000,32768,4,guided,4,1894046979.566963,0.052797,1.006099,99393766.627905,false
