checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,2499986166,511046593.125911,0.195677,1000000,8,8,block,8,8,50000000,50000000,1076169878.479826,0.092922,1.199411,83374250.426975,false
6185417096973469475,16931092769743058723,uniform,2499986166,409222529.432271,0.244366,1000000,8,8,cyclic,8,8,50000000,50000000,1061951822.476501,0.094166,1.018903,98144730.463040,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62536675.250990,1.599062,1000000,8,8,block,8,8,50000000,50000000,158700464.533653,0.630118,3.785958,26413392.021111,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,383813464.070804,0.260543,1000000,8,8,cyclic,8,8,50000000,50000000,860038826.072625,0.116274,1.080271,92569359.906698,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44892619.273087,2.227538,1000000,8,8,block,8,8,50000000,50000000,157397495.886818,0.635334,4.423657,22605731.206850,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,129485978.848760,0.772284,1000000,8,8,cyclic,8,8,50000000,50000000,419076221.660104,0.238620,1.850534,54038446.912208,false
6185417096973469475,16931092769743058723,uniform,2499986166,66217748.417786,1.510169,1000000,1,1,block,1,1,50000000,50000000,51167212.806424,1.954377,10.092605,9908244.613656,false
6185417096973469475,16931092769743058723,uniform,2499986166,66169190.201832,1.511277,1000000,1,1,cyclic,1,1,50000000,50000000,52293951.364793,1.912267,8.251272,12119343.483527,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,60078911.328780,1.664478,1000000,1,1,block,1,1,50000000,50000000,89089644.078856,1.122465,9.414640,10621755.249166,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,59675694.148736,1.675724,1000000,1,1,cyclic,1,1,50000000,50000000,89388927.460800,1.118707,7.623379,13117542.919985,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43353198.356810,2.306635,1000000,1,1,block,1,1,50000000,50000000,126059266.797327,0.793278,9.758386,10247595.876423,false
