checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput,verified
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,80392508.722895,1.243897,1000000,4,4,block,4,4,50000000,50000000,32768,4,guided,16,332827003.851108,0.300456,3.815960,26205724.088328,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,179284512.714325,0.557773,1000000,4,4,cyclic,4,4,50000000,50000000,32768,4,guided,16,915285416.082755,0.109256,2.063549,48460205.338955,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,90821591.047644,1.101060,1000000,4,4,block,4,4,50000000,50000000,32768,4,guided,16,348439920.296718,0.286994,3.694228,27069252.901597,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,177431197.218299,0.563599,1000000,4,4,cyclic,4,4,50000000,50000000,32768,4,guided,16,907173547.934224,0.110232,2.095652,47717843.504557,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,79281687.014324,1.261325,1000000,8,4,block,8,8,50000000,50000000,32768,4,guided,4,302502228.461790,0.330576,3.057050,32711273.213679,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,177302215.004107,0.564009,1000000,8,4,cyclic,8,8,50000000,50000000,32768,4,guided,4,832178149.404609,0.120167,1.652443,60516463.146293,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,52299703.289822,1.912057,1000000,8,4,block,8,8,50000000,50000000,32768,4,guided,4,303743100.771229,0.329226,3.709470,26958030.532738,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,73782206.527110,1.355340,1000000,8,4,cyclic,8,8,50000000,50000000,32768,4,guided,4,833746650.157102,0.119941,2.447905,40851265.172194,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,78316834.782105,1.276865,1000000,8,4,block,8,8,50000000,50000000,32768,4,guided,16,355837614.618530,0.281027,3.023145,33078131.915750,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,176473857.605473,0.566656,1000000,8,4,cyclic,8,8,50000000,50000000,32768,4,guided,16,994213824.998738,0.100582,1.633249,61227640.259619,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,51567505.027667,1.939206,1000000,8,4,block,8,8,50000000,50000000,32768,4,guided,16,354669097.405774,0.281953,3.694285,27068837.886530,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,74236926.460014,1.347039,1000000,8,4,cyclic,8,8,50000000,50000000,32768,4,guided,16,992418304.519787,0.100764,2.414656,41413774.485724,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,82484633.343407,1.212347,1000000,8,8,block,8,8,50000000,50000000,32768,4,guided,4,292365234.706253,0.342038,3.109374,32160816.773973,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,183338153.633881,0.545440,1000000,8,8,cyclic,8,8,50000000,50000000,32768,4,guided,4,801152743.531994,0.124820,1.521217,65736838.560047,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,94869121.477485,1.054084,1000000,8,8,block,8,8,50000000,50000000,32768,4,guided,4,296233033.711788,0.337572,2.940685,34005676.746155,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,180065921.046706,0.555352,1000000,8,8,cyclic,8,8,50000000,50000000,32768,4,guided,4,800938107.626672,0.124854,1.538543,64996555.564921,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,80308672.703527,1.245196,1000000,8,8,block,8,8,50000000,50000000,32768,4,guided,16,333169020.619781,0.300148,3.098803,32270523.681288,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,182117977.838573,0.549095,1000000,8,8,cyclic,8,8,50000000,50000000,32768,4,guided,16,943360829.395627,0.106004,1.512286,66125054.773824,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,90844604.989082,1.100781,1000000,8,8,block,8,8,50000000,50000000,32768,4,guided,16,332769397.589674,0.300508,2.953042,33863383.991235,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,178109256.100073,0.561453,1000000,8,8,cyclic,8,8,50000000,50000000,32768,4,guided,16,947903333.975544,0.105496,1.520875,65751619.401081,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,81361427.037149,1.229084,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,4,251795764.551704,0.397147,8.204074,12189065.530941,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,80922081.671201,1.235757,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,4,253500437.183277,0.394477,6.581195,15194809.248464,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,99370217.812921,1.006338,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,4,247091344.876228,0.404709,7.987520,12519531.054399,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,99164648.190093,1.008424,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,4,253404616.718699,0.394626,6.346945,15755611.597599,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,80542486.291126,1.241581,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,16,305079850.752011,0.327783,8.145241,12277107.948252,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,80985867.512692,1.234783,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,16,306584291.206556,0.326175,6.506323,15369665.316380,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,97741291.026722,1.023109,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,16,306241886.631633,0.326539,7.931288,12608292.459230,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,92655548.981547,1.079266,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,16,306586724.800806,0.326172,6.348708,15751236.055664,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,78741321.606282,1.269981,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,4,252681564.011271,0.395755,3.739541,26741251.754837,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,170812270.382813,0.585438,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,4,636498646.184487,0.157110,2.142014,46685035.822111,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,85732419.823245,1.166420,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,4,288943560.371928,0.346088,3.621064,27616189.130189,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,52974224.373055,1.887711,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,4,653503688.947623,0.153021,3.440268,29067501.443478,false
