checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,2499986166,205047603.679446,0.487692,1000000,4,4,block,4,4,50000000,50000000,228240345.471469,0.438135,2.694308,37115275.882852,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62358703.336370,1.603625,1000000,4,4,block,4,4,50000000,50000000,154464436.711936,0.647398,4.541699,22018193.497349,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43556459.813612,2.295871,1000000,4,4,block,4,4,50000000,50000000,152921429.531944,0.653931,5.240067,19083724.799746,false
6185417096973469475,16931092769743058723,uniform,2499986166,512343003.070980,0.195182,1000000,8,8,block,8,8,50000000,50000000,974115946.871679,0.102657,1.190899,83970179.546104,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62470474.817925,1.600756,1000000,8,8,block,8,8,50000000,50000000,158904008.355163,0.629311,3.784698,26422190.297198,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44846045.617119,2.229851,1000000,8,8,block,8,8,50000000,50000000,157285289.172645,0.635787,4.428473,22581148.662751,false
6185417096973469475,16931092769743058723,uniform,2499986166,66308491.497658,1.508102,1000000,1,1,block,1,1,50000000,50000000,52015316.836270,1.922511,10.088946,9911837.681412,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,59641489.877724,1.676685,1000000,1,1,block,1,1,50000000,50000000,89341721.026786,1.119298,9.422900,10612444.409379,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,42754921.555997,2.338912,1000000,1,1,block,1,1,50000000,50000000,126021174.694970,0.793517,9.790323,10214167.399509,false
6185417096973469475,16931092769743058723,uniform,2499986166,131466993.480613,0.760647,1000000,2,2,block,2,2,50000000,50000000,107574355.469766,0.929590,5.402265,18510753.554158,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,61664347.204287,1.621683,1000000,2,2,block,2,2,50000000,50000000,143146024.694974,0.698587,6.529681,15314682.766831,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43172316.255944,2.316299,1000000,2,2,block,2,2,50000000,50000000,144508572.150927,0.692000,7.225079,13840680.004346,false
6185417096973469475,16931092769743058723,uniform,2499986166,259448946.200846,0.385432,1000000,4,4,block,4,4,50000000,50000000,226904286.349807,0.440714,2.591016,38594894.877525,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62636616.619955,1.596510,1000000,4,4,block,4,4,50000000,50000000,153810746.081096,0.650150,4.542134,22016082.313394,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43635061.082236,2.291735,1000000,4,4,block,4,4,50000000,50000000,152919393.663315,0.653939,5.244715,19066813.360213,false
6185417096973469475,16931092769743058723,uniform,2499986166,514821537.978474,0.194242,1000000,8,8,block,8,8,50000000,50000000,1069489235.343289,0.093503,1.208998,82713115.232231,false
