checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,98604904.686722,1.014148,1000000,50000000,50000000,32768,8,guided,32,283474836.424996,0.352765,1.370121,72986242.474886
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,44875957.645600,2.228365,1000000,50000000,50000000,32768,4,guided,32,299421740.619441,0.333977,2.565494,38978853.101656
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44607901.095690,2.241755,1000000,50000000,50000000,32768,4,guided,32,300116910.506840,0.333203,2.578165,38787281.784685
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,44926273.588948,2.225869,1000000,50000000,50000000,32768,8,guided,32,300166534.639910,0.333148,2.562263,39028006.542097
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44547139.882241,2.244813,1000000,50000000,50000000,32768,8,guided,32,299789150.089180,0.333568,2.581549,38736438.862040
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,436696257.823562,0.228992,1000000,50000000,50000000,32768,4,guided,32,275582636.562727,0.362868,0.595080,168044601.259513
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,465418270.195622,0.214860,1000000,50000000,50000000,32768,4,guided,32,276214584.004421,0.362037,0.580365,172305487.215171
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,440815127.013363,0.226852,1000000,50000000,50000000,32768,8,guided,32,275348235.918185,0.363176,0.593504,168490758.341385
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,487943233.740199,0.204942,1000000,50000000,50000000,32768,8,guided,32,275815265.786733,0.362562,0.570809,175190028.827157
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,100940423.137053,0.990683,1000000,50000000,50000000,32768,4,guided,32,283285201.085295,0.353001,1.346836,74248098.389900
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,99866435.496236,1.001337,1000000,50000000,50000000,32768,4,guided,32,283248745.051439,0.353047,1.357499,73664898.128508
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,105670893.555589,0.946334,1000000,50000000,50000000,32768,8,guided,32,282757004.993088,0.353661,1.303185,76735079.875498
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,105047026.871887,0.951955,1000000,50000000,50000000,32768,8,guided,32,283642584.428790,0.352556,1.308036,76450494.837935
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,44466263.975678,2.248896,1000000,50000000,50000000,32768,4,guided,32,300227930.586360,0.333080,2.585335,38679710.766428
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44549994.143047,2.244669,1000000,50000000,50000000,32768,4,guided,32,300794204.716758,0.332453,2.580286,38755389.530634
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,44547693.967775,2.244785,1000000,50000000,50000000,32768,8,guided,32,299101328.139790,0.334335,2.582627,38720269.339314
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44611699.898536,2.241564,1000000,50000000,50000000,32768,8,guided,32,299378836.392998,0.334025,2.578759,38778344.627012
